new_formula,composition_vector,is_superconductor
Nd1Mg1Ag1,"[60, 1.0, 12, 1.0, 47, 1.0]",1
Sm1Mg1Ag1,"[62, 1.0, 12, 1.0, 47, 1.0]",0
Eu1Mg1Ag1,"[63, 1.0, 12, 1.0, 47, 1.0]",1
Tb1Mg1Ag1,"[65, 1.0, 12, 1.0, 47, 1.0]",1
Dy1Mg1Ag1,"[66, 1.0, 12, 1.0, 47, 1.0]",1
Ho1Mg1Ag1,"[67, 1.0, 12, 1.0, 47, 1.0]",1
Er1Mg1Ag1,"[68, 1.0, 12, 1.0, 47, 1.0]",1
Tm1Mg1Ag1,"[69, 1.0, 12, 1.0, 47, 1.0]",1
Mg1Cd1Ag2,"[12, 1.0, 48, 1.0, 47, 2.0]",1
Mg1In1Ag2,"[12, 1.0, 49, 1.0, 47, 2.0]",1
Mg1Cd1,"[12, 1.0, 48, 1.0]",1
Mg1In1,"[12, 1.0, 49, 1.0]",1
Pr1Mg1In1,"[59, 1.0, 12, 1.0, 49, 1.0]",1
Nd1Mg1In1,"[60, 1.0, 12, 1.0, 49, 1.0]",1
Sm1Mg1In1,"[62, 1.0, 12, 1.0, 49, 1.0]",1
Gd1Mg1In1,"[64, 1.0, 12, 1.0, 49, 1.0]",1
Tb1Mg1In1,"[65, 1.0, 12, 1.0, 49, 1.0]",1
Dy1Mg1In1,"[66, 1.0, 12, 1.0, 49, 1.0]",1
Ho1Mg1In1,"[67, 1.0, 12, 1.0, 49, 1.0]",1
Er1Mg1In1,"[68, 1.0, 12, 1.0, 49, 1.0]",1
Tm1Mg1In1,"[69, 1.0, 12, 1.0, 49, 1.0]",1
Lu1Mg1In1,"[71, 1.0, 12, 1.0, 49, 1.0]",1
Ce1Mg1Sn1,"[58, 1.0, 12, 1.0, 50, 1.0]",1
Pr1Mg1Sn1,"[59, 1.0, 12, 1.0, 50, 1.0]",1
Nd1Mg1Sn1,"[60, 1.0, 12, 1.0, 50, 1.0]",1
Eu1Mg1Sn1,"[63, 1.0, 12, 1.0, 50, 1.0]",1
Tb1Mg1Sn1,"[65, 1.0, 12, 1.0, 50, 1.0]",1
Dy1Mg1Sn1,"[66, 1.0, 12, 1.0, 50, 1.0]",0
Ho1Mg1Sn1,"[67, 1.0, 12, 1.0, 50, 1.0]",1
Er1Mg1Sn1,"[68, 1.0, 12, 1.0, 50, 1.0]",1
Tm1Mg1Sn1,"[69, 1.0, 12, 1.0, 50, 1.0]",1
Mg1Sn1Au1,"[12, 1.0, 50, 1.0, 79, 1.0]",1
Mg1Sb1Pt1,"[12, 1.0, 51, 1.0, 78, 1.0]",0
Mg15Si2Ir5,"[12, 15.0, 14, 2.0, 77, 5.0]",1
Mg1Te1,"[12, 1.0, 52, 1.0]",1
Mg1Te2,"[12, 1.0, 52, 2.0]",1
Mg1I2,"[12, 1.0, 53, 2.0]",1
Cs1Mg1I3,"[55, 1.0, 12, 1.0, 53, 3.0]",1
La1Mg1Au1,"[57, 1.0, 12, 1.0, 79, 1.0]",0
La1Mg1Tl1,"[57, 1.0, 12, 1.0, 81, 1.0]",0
La4Mg1Ir1,"[57, 4.0, 12, 1.0, 77, 1.0]",0
Ce1Mg1Pt1,"[58, 1.0, 12, 1.0, 78, 1.0]",1
Ce1Mg1Tl1,"[58, 1.0, 12, 1.0, 81, 1.0]",1
Pr1Mg1,"[59, 1.0, 12, 1.0]",1
Pr1Mg1Pt1,"[59, 1.0, 12, 1.0, 78, 1.0]",0
Pr1Mg1Tl1,"[59, 1.0, 12, 1.0, 81, 1.0]",1
Pr4Mg1Ir1,"[59, 4.0, 12, 1.0, 77, 1.0]",0
Nd1Mg1,"[60, 1.0, 12, 1.0]",1
Nd1Mg1Pt1,"[60, 1.0, 12, 1.0, 78, 1.0]",1
Nd1Mg1Au1,"[60, 1.0, 12, 1.0, 79, 1.0]",1
Nd1Mg1Tl1,"[60, 1.0, 12, 1.0, 81, 1.0]",1
Nd4Mg1Ir1,"[60, 4.0, 12, 1.0, 77, 1.0]",1
Pm1Mg1,"[61, 1.0, 12, 1.0]",1
Sm1Mg1,"[62, 1.0, 12, 1.0]",1
Sm1Mg1Pt1,"[62, 1.0, 12, 1.0, 78, 1.0]",0
Sm1Mg1Au1,"[62, 1.0, 12, 1.0, 79, 1.0]",0
