new_formula,composition_vector,is_superconductor
Er1Al9Ni3,"[68, 1.0, 13, 9.0, 28, 3.0]",1
Pr15Si10Ni7,"[59, 15.0, 14, 10.0, 28, 7.0]",1
Sc6Si11Ni18,"[21, 6.0, 14, 11.0, 28, 18.0]",1
Ca1Si1Ni2,"[20, 1.0, 14, 1.0, 28, 2.0]",1
Sc1Si1Ni1,"[21, 1.0, 14, 1.0, 28, 1.0]",1
Ca1Mg1Ni1H4,"[20, 1.0, 12, 1.0, 28, 1.0, 1, 4.0]",1
Sr1Mg1Ni1H4,"[38, 1.0, 12, 1.0, 28, 1.0, 1, 4.0]",1
Ce1Mg1Ni4H4,"[58, 1.0, 12, 1.0, 28, 4.0, 1, 4.0]",1
Ti1Si1Ni1,"[22, 1.0, 14, 1.0, 28, 1.0]",1
Mg2Ni1H4,"[12, 2.0, 28, 1.0, 1, 4.0]",1
V1Si1Ni1,"[23, 1.0, 14, 1.0, 28, 1.0]",1
Mn1Si1Ni1,"[25, 1.0, 14, 1.0, 28, 1.0]",1
Si1Ni1,"[14, 1.0, 28, 1.0]",1
Y1Si1Ni1,"[39, 1.0, 14, 1.0, 28, 1.0]",1
Zr1Si1Ni1,"[40, 1.0, 14, 1.0, 28, 1.0]",1
Nb1Si1Ni1,"[41, 1.0, 14, 1.0, 28, 1.0]",1
Si1Ni1Pd1,"[14, 1.0, 28, 1.0, 46, 1.0]",1
La1Si1Ni1,"[57, 1.0, 14, 1.0, 28, 1.0]",1
Ce1Si1Ni1,"[58, 1.0, 14, 1.0, 28, 1.0]",1
Pr1Si1Ni1,"[59, 1.0, 14, 1.0, 28, 1.0]",1
Nd1Si1Ni1,"[60, 1.0, 14, 1.0, 28, 1.0]",1
Tb1Si1Ni1,"[65, 1.0, 14, 1.0, 28, 1.0]",1
Dy1Si1Ni1,"[66, 1.0, 14, 1.0, 28, 1.0]",1
Ho1Si1Ni1,"[67, 1.0, 14, 1.0, 28, 1.0]",1
Er1Si1Ni1,"[68, 1.0, 14, 1.0, 28, 1.0]",1
Hf1Si1Ni1,"[72, 1.0, 14, 1.0, 28, 1.0]",1
Ta1Si1Ni1,"[73, 1.0, 14, 1.0, 28, 1.0]",1
Th1Si1Ni1,"[90, 1.0, 14, 1.0, 28, 1.0]",0
U1Si1Ni1,"[92, 1.0, 14, 1.0, 28, 1.0]",1
Si1Ni2,"[14, 1.0, 28, 2.0]",1
Zn3Si1Ni2,"[30, 3.0, 14, 1.0, 28, 2.0]",1
Si1Ni3,"[14, 1.0, 28, 3.0]",1
Y1Si1Ni4,"[39, 1.0, 14, 1.0, 28, 4.0]",1
La1Si1Ni4,"[57, 1.0, 14, 1.0, 28, 4.0]",1
Ce1Si1Ni4,"[58, 1.0, 14, 1.0, 28, 4.0]",1
Nd1Si1Ni4,"[60, 1.0, 14, 1.0, 28, 4.0]",1
Sm1Si1Ni4,"[62, 1.0, 14, 1.0, 28, 4.0]",1
Tb1Si1Ni4,"[65, 1.0, 14, 1.0, 28, 4.0]",1
Dy1Si1Ni4,"[66, 1.0, 14, 1.0, 28, 4.0]",1
Ho1Si1Ni4,"[67, 1.0, 14, 1.0, 28, 4.0]",1
Ca1Si2Ni2,"[20, 1.0, 14, 2.0, 28, 2.0]",1
Ca3Si2Ni3,"[20, 3.0, 14, 2.0, 28, 3.0]",1
Sc1Si2Ni2,"[21, 1.0, 14, 2.0, 28, 2.0]",1
Si2Ni1,"[14, 2.0, 28, 1.0]",1
Tb1Si2Ni10,"[65, 1.0, 14, 2.0, 28, 10.0]",1
Dy1Si2Ni10,"[66, 1.0, 14, 2.0, 28, 10.0]",1
Ho1Si2Ni10,"[67, 1.0, 14, 2.0, 28, 10.0]",1
Er1Si2Ni10,"[68, 1.0, 14, 2.0, 28, 10.0]",1
Tm1Si2Ni10,"[69, 1.0, 14, 2.0, 28, 10.0]",1
Y1Si2Ni1,"[39, 1.0, 14, 2.0, 28, 1.0]",1
La1Si2Ni1,"[57, 1.0, 14, 2.0, 28, 1.0]",1
Ce1Si2Ni1,"[58, 1.0, 14, 2.0, 28, 1.0]",1
Pr1Si2Ni1,"[59, 1.0, 14, 2.0, 28, 1.0]",1
Nd1Si2Ni1,"[60, 1.0, 14, 2.0, 28, 1.0]",1
Sm1Si2Ni1,"[62, 1.0, 14, 2.0, 28, 1.0]",1
Sm3Si2Ni1,"[62, 3.0, 14, 2.0, 28, 1.0]",1
Eu1Si2Ni1,"[63, 1.0, 14, 2.0, 28, 1.0]",1
