new_formula,composition_vector,is_superconductor
K4P2Pd1S8,"[19, 4.0, 15, 2.0, 46, 1.0, 16, 8.0]",1
K4V1P2S9,"[19, 4.0, 23, 1.0, 15, 2.0, 16, 9.0]",1
K1Fe2P2,"[19, 1.0, 26, 2.0, 15, 2.0]",1
K1Co2P2,"[19, 1.0, 27, 2.0, 15, 2.0]",1
K1Cu1P2Se5,"[19, 1.0, 29, 1.0, 15, 2.0, 34, 5.0]",1
K1Y1P2Se6,"[19, 1.0, 39, 1.0, 15, 2.0, 34, 6.0]",1
K1Sb1P2Se6,"[19, 1.0, 51, 1.0, 15, 2.0, 34, 6.0]",1
K1La1P2Se6,"[19, 1.0, 57, 1.0, 15, 2.0, 34, 6.0]",1
K1Pr1P2Se6,"[19, 1.0, 59, 1.0, 15, 2.0, 34, 6.0]",1
K1Bi1P2Se6,"[19, 1.0, 83, 1.0, 15, 2.0, 34, 6.0]",1
K1P2Ru2,"[19, 1.0, 15, 2.0, 44, 2.0]",1
K1P2Rh2,"[19, 1.0, 15, 2.0, 45, 2.0]",1
K1Te1P2,"[19, 1.0, 52, 1.0, 15, 2.0]",1
K1P2Ir2,"[19, 1.0, 15, 2.0, 77, 2.0]",1
K2Sc1P2Se7,"[19, 2.0, 21, 1.0, 15, 2.0, 34, 7.0]",1
K2Ni1P2,"[19, 2.0, 28, 1.0, 15, 2.0]",1
K2Ga1P2,"[19, 2.0, 31, 1.0, 15, 2.0]",1
K2Hg1P2Se6,"[19, 2.0, 80, 1.0, 15, 2.0, 34, 6.0]",1
K2La1P2Se7,"[19, 2.0, 57, 1.0, 15, 2.0, 34, 7.0]",1
K2In1P2Se8,"[19, 2.0, 49, 1.0, 15, 2.0, 34, 8.0]",1
K2P2Pd1,"[19, 2.0, 15, 2.0, 46, 1.0]",1
K3Cu3P2,"[19, 3.0, 29, 3.0, 15, 2.0]",1
K3La1P2Se8,"[19, 3.0, 57, 1.0, 15, 2.0, 34, 8.0]",1
K3P2Au1Se8,"[19, 3.0, 15, 2.0, 79, 1.0, 34, 8.0]",0
K3In1P2,"[19, 3.0, 49, 1.0, 15, 2.0]",1
K4Zn1P2,"[19, 4.0, 30, 1.0, 15, 2.0]",1
K4Cd1P2,"[19, 4.0, 48, 1.0, 15, 2.0]",1
K4Hg1P2,"[19, 4.0, 80, 1.0, 15, 2.0]",1
K5P2Au1,"[19, 5.0, 15, 2.0, 79, 1.0]",0
K5Th1P3S12,"[19, 5.0, 90, 1.0, 15, 3.0, 16, 12.0]",1
K2Cu1P3S9,"[19, 2.0, 29, 1.0, 15, 3.0, 16, 9.0]",1
K1Zn4P3,"[19, 1.0, 30, 4.0, 15, 3.0]",1
K1Cd4P3,"[19, 1.0, 48, 4.0, 15, 3.0]",1
