new_formula,composition_vector,is_superconductor
Li1P1,"[3, 1.0, 15, 1.0]",1
Li1Zn1P1S4,"[3, 1.0, 30, 1.0, 15, 1.0, 16, 4.0]",1
Li1Eu1P1S4,"[3, 1.0, 63, 1.0, 15, 1.0, 16, 4.0]",1
Li1Ca1P1,"[3, 1.0, 20, 1.0, 15, 1.0]",1
Li1Fe1P1,"[3, 1.0, 26, 1.0, 15, 1.0]",1
Li1Zn1P1,"[3, 1.0, 30, 1.0, 15, 1.0]",1
Sr1Li1P1,"[38, 1.0, 3, 1.0, 15, 1.0]",1
Ba1Li1P1,"[56, 1.0, 3, 1.0, 15, 1.0]",1
Li1Eu1P1,"[3, 1.0, 63, 1.0, 15, 1.0]",1
Cs1Li1U1P2S8,"[55, 1.0, 3, 1.0, 92, 1.0, 15, 2.0, 16, 8.0]",1
Li1Ni2P2,"[3, 1.0, 28, 2.0, 15, 2.0]",1
Li1Cu2P2,"[3, 1.0, 29, 2.0, 15, 2.0]",1
Li1Y1Cu2P2,"[3, 1.0, 39, 1.0, 29, 2.0, 15, 2.0]",1
Li1Ce1Cu2P2,"[3, 1.0, 58, 1.0, 29, 2.0, 15, 2.0]",1
Li1Sm1Cu2P2,"[3, 1.0, 62, 1.0, 29, 2.0, 15, 2.0]",1
Li1Tb1Cu2P2,"[3, 1.0, 65, 1.0, 29, 2.0, 15, 2.0]",1
Li1Co6P4,"[3, 1.0, 27, 6.0, 15, 4.0]",1
Li1P7,"[3, 1.0, 15, 7.0]",1
K1Li1S1,"[19, 1.0, 3, 1.0, 16, 1.0]",1
Rb1Li1S1,"[37, 1.0, 3, 1.0, 16, 1.0]",1
Li1Au1S1,"[3, 1.0, 79, 1.0, 16, 1.0]",0
Li1Sc1S2,"[3, 1.0, 21, 1.0, 16, 2.0]",1
Li1Ti1S2,"[3, 1.0, 22, 1.0, 16, 2.0]",1
Li1Cr1S2,"[3, 1.0, 24, 1.0, 16, 2.0]",1
Li1Ga1S2,"[3, 1.0, 31, 1.0, 16, 2.0]",1
Li1As1S2,"[3, 1.0, 33, 1.0, 16, 2.0]",1
Li1Y1S2,"[3, 1.0, 39, 1.0, 16, 2.0]",1
Li1Zr1S2,"[3, 1.0, 40, 1.0, 16, 2.0]",1
Li1Nb1S2,"[3, 1.0, 41, 1.0, 16, 2.0]",1
Li1In1S2,"[3, 1.0, 49, 1.0, 16, 2.0]",1
Li1Sb1S2,"[3, 1.0, 51, 1.0, 16, 2.0]",1
Li1Dy1S2,"[3, 1.0, 66, 1.0, 16, 2.0]",1
Li1Ho1S2,"[3, 1.0, 67, 1.0, 16, 2.0]",1
Li1Er1S2,"[3, 1.0, 68, 1.0, 16, 2.0]",1
Li1Ta1S2,"[3, 1.0, 73, 1.0, 16, 2.0]",1
Rb2Li1V1S4,"[37, 2.0, 3, 1.0, 23, 1.0, 16, 4.0]",1
Cs2Li1V1S4,"[55, 2.0, 3, 1.0, 23, 1.0, 16, 4.0]",1
Rb2Li1Nb1S4,"[37, 2.0, 3, 1.0, 41, 1.0, 16, 4.0]",1
Rb2Li1Ta1S4,"[37, 2.0, 3, 1.0, 73, 1.0, 16, 4.0]",1
Cs2Li1Nb1S4,"[55, 2.0, 3, 1.0, 41, 1.0, 16, 4.0]",1
Li1Cr4Ga1S8,"[3, 1.0, 24, 4.0, 31, 1.0, 16, 8.0]",1
Li1Cr4In1S8,"[3, 1.0, 24, 4.0, 49, 1.0, 16, 8.0]",1
Li1Cl1,"[3, 1.0, 17, 1.0]",1
Li1Nb6Cl19,"[3, 1.0, 41, 6.0, 17, 19.0]",1
Cs1Li1Cl2,"[55, 1.0, 3, 1.0, 17, 2.0]",1
Li1Ga1Cl3,"[3, 1.0, 31, 1.0, 17, 3.0]",1
Li1Fe1Cl4,"[3, 1.0, 26, 1.0, 17, 4.0]",1
Li1Ga1Cl4,"[3, 1.0, 31, 1.0, 17, 4.0]",1
Rb2Li1Sc1Cl6,"[37, 2.0, 3, 1.0, 21, 1.0, 17, 6.0]",1
Cs2Li1Sc1Cl6,"[55, 2.0, 3, 1.0, 21, 1.0, 17, 6.0]",1
Li1Sc1Tl2Cl6,"[3, 1.0, 21, 1.0, 81, 2.0, 17, 6.0]",0
Rb2Li1V1Cl6,"[37, 2.0, 3, 1.0, 23, 1.0, 17, 6.0]",1
Rb2Li1Ru1Cl6,"[37, 2.0, 3, 1.0, 44, 1.0, 17, 6.0]",1
Rb2Li1Rh1Cl6,"[37, 2.0, 3, 1.0, 45, 1.0, 17, 6.0]",1
Rb2Li1Tm1Cl6,"[37, 2.0, 3, 1.0, 69, 1.0, 17, 6.0]",1
Rb2Li1Lu1Cl6,"[37, 2.0, 3, 1.0, 71, 1.0, 17, 6.0]",0
Cs2Li1Y1Cl6,"[55, 2.0, 3, 1.0, 39, 1.0, 17, 6.0]",1
Cs2Li1In1Cl6,"[55, 2.0, 3, 1.0, 49, 1.0, 17, 6.0]",1
Cs2Li1Lu1Cl6,"[55, 2.0, 3, 1.0, 71, 1.0, 17, 6.0]",1
Li1Nb3Cl8,"[3, 1.0, 41, 3.0, 17, 8.0]",1
Li1Nb3In1Cl9,"[3, 1.0, 41, 3.0, 49, 1.0, 17, 9.0]",1
K1Li1Se1,"[19, 1.0, 3, 1.0, 34, 1.0]",1
K1Li1Te1,"[19, 1.0, 3, 1.0, 52, 1.0]",1
K2Li1Ga1As2,"[19, 2.0, 3, 1.0, 31, 1.0, 33, 2.0]",1
K2Li1In1As2,"[19, 2.0, 3, 1.0, 49, 1.0, 33, 2.0]",1
K2Li1Sn4,"[19, 2.0, 3, 1.0, 50, 4.0]",1
K3Li1Ge4,"[19, 3.0, 3, 1.0, 32, 4.0]",1
Li1Ca11Sb9,"[3, 1.0, 20, 11.0, 51, 9.0]",1
Li1Ca1Ge2,"[3, 1.0, 20, 1.0, 32, 2.0]",1
Li1Ca1As1,"[3, 1.0, 20, 1.0, 33, 1.0]",1
Li1Ca1Sn1,"[3, 1.0, 20, 1.0, 50, 1.0]",1
Li1Ca1Sb1,"[3, 1.0, 20, 1.0, 51, 1.0]",1
Li1Ca1Pb1,"[3, 1.0, 20, 1.0, 82, 1.0]",1
Li1Ca1Bi1,"[3, 1.0, 20, 1.0, 83, 1.0]",1
Li1Ca2In1Ge2,"[3, 1.0, 20, 2.0, 49, 1.0, 32, 2.0]",1
Li1Ca2Ge3,"[3, 1.0, 20, 2.0, 32, 3.0]",1
Li1Ti1Se2,"[3, 1.0, 22, 1.0, 34, 2.0]",1
Li1Ti3Se6,"[3, 1.0, 22, 3.0, 34, 6.0]",1
Li1Fe1As1,"[3, 1.0, 26, 1.0, 33, 1.0]",1
Li1Fe1Br4,"[3, 1.0, 26, 1.0, 35, 4.0]",1
Li1Fe6Ge6,"[3, 1.0, 26, 6.0, 32, 6.0]",1
Li1Co1As1,"[3, 1.0, 27, 1.0, 33, 1.0]",1
Li1Co2Ge1,"[3, 1.0, 27, 2.0, 32, 1.0]",1
Li1Co6Ge6,"[3, 1.0, 27, 6.0, 32, 6.0]",1
