new_formula,composition_vector
La6Zn1Sb15,"[57, 6.0, 30, 1.0, 51, 15.0]"
La1,"[57, 1.0]"
B1,"[5, 1.0]"
Co1Zr2,"[27, 1.0, 40, 2.0]"
Ni1Zr2,"[28, 1.0, 40, 2.0]"
Pd1Zr2,"[46, 1.0, 40, 2.0]"
Ni1Zr3,"[28, 1.0, 40, 3.0]"
Rh1Zr3,"[45, 1.0, 40, 3.0]"
La9Br5B3C6,"[57, 9.0, 35, 5.0, 5, 3.0, 6, 6.0]"
Cu1Co2S4,"[29, 1.0, 27, 2.0, 16, 4.0]"
Tl1Mo3Te3,"[81, 1.0, 42, 3.0, 52, 3.0]"
Te1,"[52, 1.0]"
Sn1Te1,"[50, 1.0, 52, 1.0]"
P3Sn4,"[15, 3.0, 50, 4.0]"
As3Sn4,"[33, 3.0, 50, 4.0]"
Te3Tl5,"[52, 3.0, 81, 5.0]"
As1Ga1,"[33, 1.0, 31, 1.0]"
Al1Sb1,"[13, 1.0, 51, 1.0]"
Ga1Sb1,"[31, 1.0, 51, 1.0]"
In1Te1,"[49, 1.0, 52, 1.0]"
Bi1Sn1,"[83, 1.0, 50, 1.0]"
Bi2Te3,"[83, 2.0, 52, 3.0]"
Ge2U1,"[32, 2.0, 92, 1.0]"
Li2B1Pd3,"[3, 2.0, 5, 1.0, 46, 3.0]"
Li2B1Pt3,"[3, 2.0, 5, 1.0, 78, 3.0]"
La1Os4P12,"[57, 1.0, 76, 4.0, 15, 12.0]"
La3Se4,"[57, 3.0, 34, 4.0]"
In3Te4,"[49, 3.0, 52, 4.0]"
U1Rh1Ge1,"[92, 1.0, 45, 1.0, 32, 1.0]"
Nb1Se3,"[41, 1.0, 34, 3.0]"
Ge2La1,"[32, 2.0, 57, 1.0]"
Ge3Y1,"[32, 3.0, 39, 1.0]"
Dy1Ni2B2C1,"[66, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Pt3U1,"[78, 3.0, 92, 1.0]"
Mn1U6,"[25, 1.0, 92, 6.0]"
