new_formula,composition_vector
Tb1Al1Cu1,"[65, 1.0, 13, 1.0, 29, 1.0]"
Dy1Al1Cu1,"[66, 1.0, 13, 1.0, 29, 1.0]"
Ho1Al1Cu1,"[67, 1.0, 13, 1.0, 29, 1.0]"
Er1Al1Cu1,"[68, 1.0, 13, 1.0, 29, 1.0]"
Tm1Al1Cu1,"[69, 1.0, 13, 1.0, 29, 1.0]"
Al1Cu1Pt2,"[13, 1.0, 29, 1.0, 78, 2.0]"
Hf1Al1Cu2,"[72, 1.0, 13, 1.0, 29, 2.0]"
Al1Cu3,"[13, 1.0, 29, 3.0]"
Y1Al1Zn1,"[39, 1.0, 13, 1.0, 30, 1.0]"
Dy1Al1Zn1,"[66, 1.0, 13, 1.0, 30, 1.0]"
Er1Al1Zn1,"[68, 1.0, 13, 1.0, 30, 1.0]"
Al1H3,"[13, 1.0, 1, 3.0]"
Sr1Al1Ge1,"[38, 1.0, 13, 1.0, 32, 1.0]"
Y1Al1Ge1,"[39, 1.0, 13, 1.0, 32, 1.0]"
Ba1Al1Ge1,"[56, 1.0, 13, 1.0, 32, 1.0]"
La1Al1Ge1,"[57, 1.0, 13, 1.0, 32, 1.0]"
Ce1Al1Ge1,"[58, 1.0, 13, 1.0, 32, 1.0]"
Pr1Al1Ge1,"[59, 1.0, 13, 1.0, 32, 1.0]"
Nd1Al1Ge1,"[60, 1.0, 13, 1.0, 32, 1.0]"
Sm1Al1Ge1,"[62, 1.0, 13, 1.0, 32, 1.0]"
Eu1Al1Ge1,"[63, 1.0, 13, 1.0, 32, 1.0]"
Gd1Al1Ge1,"[64, 1.0, 13, 1.0, 32, 1.0]"
Tb1Al1Ge1,"[65, 1.0, 13, 1.0, 32, 1.0]"
Dy1Al1Ge1,"[66, 1.0, 13, 1.0, 32, 1.0]"
Ho1Al1Ge1,"[67, 1.0, 13, 1.0, 32, 1.0]"
Er1Al1Ge1,"[68, 1.0, 13, 1.0, 32, 1.0]"
Tm1Al1Ge1,"[69, 1.0, 13, 1.0, 32, 1.0]"
Lu1Al1Ge1,"[71, 1.0, 13, 1.0, 32, 1.0]"
Al13Fe4,"[13, 13.0, 26, 4.0]"
Ce2Al1Ge6,"[58, 2.0, 13, 1.0, 32, 6.0]"
Gd2Al1Ge6,"[64, 2.0, 13, 1.0, 32, 6.0]"
Al1As1,"[13, 1.0, 33, 1.0]"
Al1As1Pt5,"[13, 1.0, 33, 1.0, 78, 5.0]"
Cs3Al1As2,"[55, 3.0, 13, 1.0, 33, 2.0]"
Sr3Al1As3,"[38, 3.0, 13, 1.0, 33, 3.0]"
Ba3Al1As3,"[56, 3.0, 13, 1.0, 33, 3.0]"
Al1Ag1Se2,"[13, 1.0, 47, 1.0, 34, 2.0]"
Al1Tl1Se2,"[13, 1.0, 81, 1.0, 34, 2.0]"
Al13Ru4,"[13, 13.0, 44, 4.0]"
Al1Ag9Se6,"[13, 1.0, 47, 9.0, 34, 6.0]"
Al1Br3,"[13, 1.0, 35, 3.0]"
Rb1Al1Br4,"[37, 1.0, 13, 1.0, 35, 4.0]"
Al1In1Br4,"[13, 1.0, 49, 1.0, 35, 4.0]"
Cs1Al1Br4,"[55, 1.0, 13, 1.0, 35, 4.0]"
Al1Tl1Br4,"[13, 1.0, 81, 1.0, 35, 4.0]"
Nb1Al1Br8,"[41, 1.0, 13, 1.0, 35, 8.0]"
Al13Os4,"[13, 13.0, 76, 4.0]"
Rb6Al1Sb3,"[37, 6.0, 13, 1.0, 51, 3.0]"
Sr3Al1Sb3,"[38, 3.0, 13, 1.0, 51, 3.0]"
Y1Al1,"[39, 1.0, 13, 1.0]"
Y1Al1Pd1,"[39, 1.0, 13, 1.0, 46, 1.0]"
Y1Al1Pd2,"[39, 1.0, 13, 1.0, 46, 2.0]"
Y1Al1Pt1,"[39, 1.0, 13, 1.0, 78, 1.0]"
