new_formula,composition_vector
Tb1Cr2Si2C1,"[65, 1.0, 24, 2.0, 14, 2.0, 6, 1.0]"
Dy1Cr2Si2C1,"[66, 1.0, 24, 2.0, 14, 2.0, 6, 1.0]"
Ho1Cr2Si2C1,"[67, 1.0, 24, 2.0, 14, 2.0, 6, 1.0]"
Er1Cr2Si2C1,"[68, 1.0, 24, 2.0, 14, 2.0, 6, 1.0]"
Y2Fe2Si2C1,"[39, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
La2Fe2Si2C1,"[57, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Ce2Fe2Si2C1,"[58, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Pr2Fe2Si2C1,"[59, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Nd2Fe2Si2C1,"[60, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Sm2Fe2Si2C1,"[62, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Tb2Fe2Si2C1,"[65, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Dy2Fe2Si2C1,"[66, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Ho2Fe2Si2C1,"[67, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Er2Fe2Si2C1,"[68, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Tm2Fe2Si2C1,"[69, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
