new_formula,composition_vector
Pr15Si10Ni7,"[59, 15.0, 14, 10.0, 28, 7.0]"
Er5Si10Ir4,"[68, 5.0, 14, 10.0, 77, 4.0]"
Tm5Si10Ir4,"[69, 5.0, 14, 10.0, 77, 4.0]"
Lu5Si10Ir4,"[71, 5.0, 14, 10.0, 77, 4.0]"
Sc6Si11Ni18,"[21, 6.0, 14, 11.0, 28, 18.0]"
Si1P1,"[14, 1.0, 15, 1.0]"
Si1P1Au1,"[14, 1.0, 15, 1.0, 79, 1.0]"
Si1P2,"[14, 1.0, 15, 2.0]"
K2Si1P2,"[19, 2.0, 14, 1.0, 15, 2.0]"
Zn1Si1P2,"[30, 1.0, 14, 1.0, 15, 2.0]"
Si1Ag2P2,"[14, 1.0, 47, 2.0, 15, 2.0]"
Cd1Si1P2,"[48, 1.0, 14, 1.0, 15, 2.0]"
Cs2Si1P2,"[55, 2.0, 14, 1.0, 15, 2.0]"
Pr1Si1P3,"[59, 1.0, 14, 1.0, 15, 3.0]"
Ca4Si1P4,"[20, 4.0, 14, 1.0, 15, 4.0]"
Sr4Si1P4,"[38, 4.0, 14, 1.0, 15, 4.0]"
Ba4Si1P4,"[56, 4.0, 14, 1.0, 15, 4.0]"
Cu4Si1P8,"[29, 4.0, 14, 1.0, 15, 8.0]"
Ce3Si11Pt23,"[58, 3.0, 14, 11.0, 78, 23.0]"
Pr3Si11Pt23,"[59, 3.0, 14, 11.0, 78, 23.0]"
Nd3Si11Pt23,"[60, 3.0, 14, 11.0, 78, 23.0]"
Zr1Si1S1,"[40, 1.0, 14, 1.0, 16, 1.0]"
Hf1Si1S1,"[72, 1.0, 14, 1.0, 16, 1.0]"
Th1Si1S1,"[90, 1.0, 14, 1.0, 16, 1.0]"
Si1S2,"[14, 1.0, 16, 2.0]"
Sm3Si11Pt23,"[62, 3.0, 14, 11.0, 78, 23.0]"
Rb2Si1S3,"[37, 2.0, 14, 1.0, 16, 3.0]"
Cs2Si1S3,"[55, 2.0, 14, 1.0, 16, 3.0]"
Tl2Si1S3,"[81, 2.0, 14, 1.0, 16, 3.0]"
K1Y1Si1S4,"[19, 1.0, 39, 1.0, 14, 1.0, 16, 4.0]"
K1La1Si1S4,"[19, 1.0, 57, 1.0, 14, 1.0, 16, 4.0]"
K1Ce1Si1S4,"[19, 1.0, 58, 1.0, 14, 1.0, 16, 4.0]"
K1Eu1Si1S4,"[19, 1.0, 63, 1.0, 14, 1.0, 16, 4.0]"
K1Si1Bi1S4,"[19, 1.0, 14, 1.0, 83, 1.0, 16, 4.0]"
Ca2Si1S4,"[20, 2.0, 14, 1.0, 16, 4.0]"
Mn1Cu2Si1S4,"[25, 1.0, 29, 2.0, 14, 1.0, 16, 4.0]"
Mn2Si1S4,"[25, 2.0, 14, 1.0, 16, 4.0]"
Zn1Cu2Si1S4,"[30, 1.0, 29, 2.0, 14, 1.0, 16, 4.0]"
Cd1Cu2Si1S4,"[48, 1.0, 29, 2.0, 14, 1.0, 16, 4.0]"
Cu2Si1Hg1S4,"[29, 2.0, 14, 1.0, 80, 1.0, 16, 4.0]"
Zn1Si1Ag2S4,"[30, 1.0, 14, 1.0, 47, 2.0, 16, 4.0]"
Rb1La1Si1S4,"[37, 1.0, 57, 1.0, 14, 1.0, 16, 4.0]"
Rb1Eu1Si1S4,"[37, 1.0, 63, 1.0, 14, 1.0, 16, 4.0]"
Rb1Si1Bi1S4,"[37, 1.0, 14, 1.0, 83, 1.0, 16, 4.0]"
Sr2Si1S4,"[38, 2.0, 14, 1.0, 16, 4.0]"
Tl1In1Si1S4,"[81, 1.0, 49, 1.0, 14, 1.0, 16, 4.0]"
Cs1Ce1Si1S4,"[55, 1.0, 58, 1.0, 14, 1.0, 16, 4.0]"
Cs1Sm1Si1S4,"[55, 1.0, 62, 1.0, 14, 1.0, 16, 4.0]"
Cs1Eu1Si1S4,"[55, 1.0, 63, 1.0, 14, 1.0, 16, 4.0]"
Cs1Gd1Si1S4,"[55, 1.0, 64, 1.0, 14, 1.0, 16, 4.0]"
Cs1Tb1Si1S4,"[55, 1.0, 65, 1.0, 14, 1.0, 16, 4.0]"
Cs1Dy1Si1S4,"[55, 1.0, 66, 1.0, 14, 1.0, 16, 4.0]"
Cs1Ho1Si1S4,"[55, 1.0, 67, 1.0, 14, 1.0, 16, 4.0]"
Cs1Er1Si1S4,"[55, 1.0, 68, 1.0, 14, 1.0, 16, 4.0]"
Cs1Tm1Si1S4,"[55, 1.0, 69, 1.0, 14, 1.0, 16, 4.0]"
Cs1Si1Bi1S4,"[55, 1.0, 14, 1.0, 83, 1.0, 16, 4.0]"
Ba2Si1S4,"[56, 2.0, 14, 1.0, 16, 4.0]"
Eu2Si1S4,"[63, 2.0, 14, 1.0, 16, 4.0]"
Tl4Si1S4,"[81, 4.0, 14, 1.0, 16, 4.0]"
Si1Pb2S4,"[14, 1.0, 82, 2.0, 16, 4.0]"
Ba3Si1S5,"[56, 3.0, 14, 1.0, 16, 5.0]"
La2Si1S5,"[57, 2.0, 14, 1.0, 16, 5.0]"
Nd2Si1S5,"[60, 2.0, 14, 1.0, 16, 5.0]"
Nd3Si1S6Cl1,"[60, 3.0, 14, 1.0, 16, 6.0, 17, 1.0]"
Sm3Si1S6Cl1,"[62, 3.0, 14, 1.0, 16, 6.0, 17, 1.0]"
Dy3Si11Pt23,"[66, 3.0, 14, 11.0, 78, 23.0]"
Si1Ag8S6,"[14, 1.0, 47, 8.0, 16, 6.0]"
Y3Cu1Si1S7,"[39, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
La3Cu1Si1S7,"[57, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Ce3Cu1Si1S7,"[58, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Pr3Cu1Si1S7,"[59, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Nd3Cu1Si1S7,"[60, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Sm3Cu1Si1S7,"[62, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Tb3Cu1Si1S7,"[65, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Dy3Cu1Si1S7,"[66, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Ho3Cu1Si1S7,"[67, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Er3Cu1Si1S7,"[68, 3.0, 29, 1.0, 14, 1.0, 16, 7.0]"
Ho3Si11Pt23,"[67, 3.0, 14, 11.0, 78, 23.0]"
La3Si1Ag1S7,"[57, 3.0, 14, 1.0, 47, 1.0, 16, 7.0]"
Ce3Si1Ag1S7,"[58, 3.0, 14, 1.0, 47, 1.0, 16, 7.0]"
Pr3Si1Ag1S7,"[59, 3.0, 14, 1.0, 47, 1.0, 16, 7.0]"
Nd3Si1Ag1S7,"[60, 3.0, 14, 1.0, 47, 1.0, 16, 7.0]"
Sm3Si1Ag1S7,"[62, 3.0, 14, 1.0, 47, 1.0, 16, 7.0]"
Er3Si11Pt23,"[68, 3.0, 14, 11.0, 78, 23.0]"
La3Si1Cl3,"[57, 3.0, 14, 1.0, 17, 3.0]"
Si1Cl4,"[14, 1.0, 17, 4.0]"
